length,highway,name
211.64742287109345,residential,South Bell Avenue
35.13136362048815,residential,South Sangamon Street
99.88198158797819,residential,West 108th Place
29.601751452506463,residential,West 108th Place
40.61816104020459,residential,South Ashland Avenue
62.41771681528915,residential,South Ashland Avenue
14.973197863648242,residential,South Church Street
40.61816104020459,residential,South Ashland Avenue
160.3372187391182,secondary,South Vincennes Avenue
88.79594253988054,secondary,South Vincennes Avenue
49.68275198011925,residential,South Ashland Avenue
23.729103324370975,residential,South Ashland Avenue
98.80428919751407,residential,West 110th Street
23.729103324370975,residential,South Ashland Avenue
87.63225127528518,residential,West Chelsea Place
158.3055496721589,residential,South Ashland Avenue
122.99443454501628,secondary,West 111th Street
85.70677770352248,secondary,West 111th Street
43.461184407242214,residential,South Ashland Avenue
81.04839758517838,secondary,West Monterey Avenue
115.7485453540864,secondary,West Monterey Avenue
134.1329476176997,residential,South Ashland Avenue
128.1759621006687,secondary,"['South Ashland Avenue', 'South Hamlet Avenue']"
195.85580207594236,secondary,South Ashland Avenue
126.02577866831591,residential,West 114th Place
100.90311569601288,tertiary,West 115th Street
101.63270838436108,secondary,South Ashland Avenue
92.71934586773217,tertiary,West 115th Street
202.24825889405716,secondary,South Ashland Avenue
202.67652973152306,secondary,South Ashland Avenue
10.359997224410847,tertiary,West 119th Street
208.97576745102725,tertiary,South Longwood Drive
135.85093331682384,tertiary,West 119th Street
9.442248619401838,residential,South Bell Avenue
23.324544618180642,tertiary,
32.46391164380247,residential,West 115th Street
145.94980582449926,residential,West 115th Street
24.81893320799602,residential,West 115th Street
202.78638061540204,residential,South Green Street
100.11291672326246,tertiary,West 107th Street
202.75975007782546,residential,South Green Street
45.91695897468982,residential,West 108th Street
96.81561421449867,residential,West 108th Street
100.7200420414607,residential,West 110th Street
96.34086337635398,residential,West 110th Street
202.47860141626734,residential,South Green Street
202.28962323989114,residential,South Green Street
202.43426686442385,residential,South Green Street
95.73166729239962,secondary,West 111th Street
101.01311431060931,secondary,West 111th Street
202.47860141626737,residential,South Green Street
101.63310531858988,residential,West 112th Street
96.12697368127223,residential,West 112th Street
201.88904649557307,residential,South Green Street
202.43426686442385,residential,South Green Street
189.921127618517,residential,South Green Street
201.88904649557307,residential,South Green Street
101.61841941979425,residential,West 113th Street
96.02080438591031,residential,West 113th Street
189.921127618517,residential,South Green Street
110.11904064590348,residential,West 112th Street
110.11904064590348,residential,West 112th Street
101.19277063145091,residential,South Aberdeen Street
201.31005720567885,residential,West 112th Street
113.98447911717766,residential,South Racine Avenue
101.19354760257534,residential,South Racine Avenue
119.3699546706959,residential,South Bishop Street
134.31092343167575,residential,West 112th Street
68.10473830597861,secondary,South Hamlet Avenue
19.214671222813344,residential,West 112th Street
96.12697368127223,residential,West 112th Street
201.9422883518984,primary,South Halsted Street
99.75626667933966,residential,West 112th Street
101.63310531858988,residential,West 112th Street
201.83430421713814,residential,South Peoria Street
202.587069219821,residential,South Peoria Street
17.975884954580074,residential,South Lothair Avenue
58.38804265496681,residential,West 112th Street
56.79919598864753,residential,South Lothair Avenue
20.232627627508016,residential,
198.14585206194852,residential,West 112th Street
194.7366465072114,residential,South Bell Avenue
17.819579708303984,residential,
19.100612430135588,residential,
59.50356081196442,residential,West 112th Street
60.30874172186834,residential,West 112th Street
55.29023538701691,residential,South Oakley Avenue
59.50356081196442,residential,West 112th Street
134.18169333971068,secondary,South Western Avenue
107.36025879910028,residential,West 112th Street
38.48514502372434,secondary,South Western Avenue
100.3591747206097,residential,West 112th Street
107.36025879910031,residential,West 112th Street
161.45856148764688,residential,South Artesian Avenue
183.65182721563218,residential,South Campbell Avenue
101.12319990896005,residential,West 112th Street
100.35917472060967,residential,West 112th Street
184.0325010332375,residential,South Maplewood Avenue
219.76912708201723,residential,South Maplewood Avenue
48.65237595002464,residential,West 112th Street
101.12319990896005,residential,West 112th Street
48.65237595002464,residential,West 112th Street
89.43448336063358,residential,West 112th Street
201.59175045846882,residential,South Washtenaw Avenue
102.03278755030215,residential,West 112th Street
101.64255497810393,residential,West 112th Street
102.03278755030215,residential,West 112th Street
202.05686145352672,residential,South Fairfield Avenue
144.88800038189433,secondary,South Vincennes Avenue
103.21932215146265,secondary,South Vincennes Avenue
116.7923675708056,secondary,West Monterey Avenue
115.74854535408642,secondary,West Monterey Avenue
116.81260711669881,secondary,West Monterey Avenue
116.7923675708056,secondary,West Monterey Avenue
204.49835540627384,residential,South Church Street
115.7125211700173,secondary,West Monterey Avenue
116.81260711669881,secondary,West Monterey Avenue
115.7125211700173,secondary,West Monterey Avenue
172.7043274965423,residential,South Esmond Street
110.45141592603841,secondary,West Monterey Avenue
205.3191370876758,residential,South Esmond Street
5.63483592901904,secondary,West Monterey Avenue
183.84283549969393,residential,South Homewood Avenue
60.331442156692134,secondary,West Monterey Avenue
170.22945212660736,residential,South Hale Avenue
39.18957823208677,secondary,West 111th Street
60.331442156692134,secondary,West Monterey Avenue
263.2291546347913,residential,South Esmond Street
128.746545649289,residential,South Wood Street
79.84194631369125,residential,South Wood Street
116.12904212339828,residential,West Montvale Avenue
205.3191370876758,residential,South Esmond Street
101.94226150280906,tertiary,West 119th Street
50.10357136603953,residential,West 117th Street
149.00185005764155,residential,West 117th Street
50.10357136603953,residential,West 117th Street
89.43127631468586,tertiary,South Longwood Drive
90.13006710423703,tertiary,South Longwood Drive
149.00185005764155,residential,West 117th Street
221.90259068064464,residential,South Watkins Avenue
102.96973420126486,residential,West 117th Street
222.01889477313125,residential,South Watkins Avenue
102.17508408400558,residential,West 117th Street
102.96973420126484,residential,West 117th Street
221.90586343690234,secondary,South Vincennes Avenue
221.76875725561777,secondary,South Vincennes Avenue
47.94680880760462,residential,West 117th Street
102.17508408400558,residential,West 117th Street
221.4343678221772,residential,South Church Street
47.94680880760462,residential,West 117th Street
12.708155619769023,residential,West 117th Street
69.22710227411474,secondary,South Western Avenue
101.9279331827004,residential,West 117th Street
95.5453886048011,residential,West 117th Street
202.21023782185517,residential,South Artesian Avenue
101.65395508621495,residential,West 117th Street
101.9279331827004,residential,West 117th Street
201.5087227140952,residential,South Campbell Avenue
202.1983303101194,residential,South Campbell Avenue
88.33009131696991,residential,West 117th Street
101.65395508621495,residential,West 117th Street
100.6728907455726,residential,South Maplewood Avenue
100.83963213663698,residential,South Maplewood Avenue
88.33009131696991,residential,West 117th Street
106.68929466034089,residential,West 108th Street
75.05450694259845,secondary,South Western Avenue
32.07587926900902,secondary,South Western Avenue
101.4499803680504,residential,West 108th Street
106.68929466034089,residential,West 108th Street
203.25514702804674,residential,South Artesian Avenue
100.5884960569386,residential,West 108th Street
101.4499803680504,residential,West 108th Street
203.49164213784678,residential,South Campbell Avenue
88.15887867023974,residential,West 108th Street
100.5884960569386,residential,West 108th Street
203.0741734700921,residential,South Maplewood Avenue
88.15887867023974,residential,West 108th Street
203.104349039262,residential,South Rockwell Street
101.61666184941056,residential,West 108th Street
202.6144193765815,residential,South Washtenaw Avenue
102.76608181800326,residential,West 108th Street
202.29062634461664,residential,South Fairfield Avenue
101.61666184941056,residential,West 108th Street
290.90262154858016,residential,West 108th Street
100.49935397613133,residential,West 108th Street
100.80388233892332,residential,South Morgan Street
102.40544225360784,residential,South Morgan Street
290.9026215485801,residential,West 108th Street
107.84046114185975,residential,South Beverly Avenue
108.66567410040906,residential,South Beverly Avenue
1.457247006069512,residential,South Racine Avenue
202.3948985846933,residential,West 108th Street
290.7969026514715,residential,"['South Racine Avenue', 'West 107th Place']"
202.06634838186875,primary,South Halsted Street
96.81561421449868,residential,West 108th Street
45.91695897468982,residential,West 108th Street
189.5164974344779,residential,West 108th Place
133.059438423894,residential,South Wood Street
162.3237499123345,residential,South Wood Street
105.08484821186633,residential,South Prospect Avenue
276.82327397190846,residential,South Prospect Avenue
79.84194631369127,residential,South Wood Street
133.059438423894,residential,South Wood Street
136.16779504817916,residential,South Hermosa Avenue
199.6584212641447,residential,South Hermosa Avenue
118.2822207121771,residential,West Chelsea Place
128.746545649289,residential,South Wood Street
13.922421150523606,tertiary,West 115th Street
106.40481543576,tertiary,West 115th Street
53.809733168397784,residential,West 110th Place
53.809733168397784,residential,West 110th Place
101.98520430914411,residential,South Bishop Street
134.31420339820116,residential,West 110th Place
99.76065995951936,residential,South Bishop Street
301.6826145507203,residential,"['West 110th Place', 'South Aberdeen Street']"
202.8247521209821,residential,West 110th Place
100.34813520527865,residential,South Racine Avenue
101.94985371793703,residential,South Racine Avenue
49.16035411124383,residential,West 110th Place
107.88528607781113,residential,South Beverly Avenue
112.83132600494295,residential,West 110th Place
100.41441963052,residential,South Morgan Street
101.9272294582309,residential,South Morgan Street
112.83132600494295,residential,West 110th Place
6.461480081106645,tertiary,South Longwood Drive
234.16772390672887,residential,West 110th Place
144.45874147990594,tertiary,South Longwood Drive
264.40028738153893,residential,West 110th Place
234.1677239067289,residential,West 110th Place
82.63596333880244,residential,South Hoyne Avenue
264.40028738153893,residential,West 110th Place
45.281804918636205,residential,South Bell Avenue
303.65993017239316,residential,West 110th Place
129.76420139202554,residential,South Bell Avenue
79.58143652907195,secondary,South Western Avenue
125.91769332171191,secondary,South Western Avenue
188.55250744219674,residential,West 110th Place
102.24127738935047,residential,South Campbell Avenue
102.70835815214096,residential,South Campbell Avenue
188.55250744219674,residential,West 110th Place
102.41893251105256,residential,South Rockwell Street
102.18569458687651,residential,South Rockwell Street
202.79842400319134,primary,South Halsted Street
96.34086337635398,residential,West 110th Street
202.3002254591123,primary,South Halsted Street
95.7316672923996,secondary,West 111th Street
199.78469330813488,residential,South Campbell Avenue
101.97693582165046,tertiary,West 115th Street
101.86794102121154,tertiary,West 115th Street
203.87768649751212,residential,South Campbell Avenue
202.1983303101194,residential,South Campbell Avenue
199.78469330813488,residential,South Campbell Avenue
101.8173666925397,residential,West 116th Street
101.89206294542352,residential,West 116th Street
101.33406799223376,tertiary,West 119th Street
189.08323142106627,residential,West 109th Place
100.42763704224318,residential,South Campbell Avenue
101.07245468777717,residential,South Campbell Avenue
188.54987372354327,residential,West 110th Street
101.29852206669291,residential,West 110th Street
102.70835815214096,residential,South Campbell Avenue
100.42763704224319,residential,South Campbell Avenue
102.24127738935047,residential,South Campbell Avenue
50.53948024921783,residential,South Campbell Avenue
101.33762758102206,secondary,West 111th Street
101.13817693267005,secondary,West 111th Street
101.48089696761573,residential,West 113th Street
100.49247560732131,residential,West 113th Street
87.67808408082644,residential,West 115th Place
100.09444034815029,residential,South Maplewood Avenue
99.9165814358685,residential,South Maplewood Avenue
